id,name,restaurantId,
1,EJECUTIVO | rest 1,1,EJECUTIVO
363,$10.000 | rest 61,61,$10.000
364,$15.000 | rest 61,61,$15.000
365,$20.000 | rest 61,61,$20.000
366,$30.000 | rest 61,61,$30.000
367,EJECUTIVO | rest 62,62,EJECUTIVO
368,ESPECIAL | rest 62,62,ESPECIAL
369,$10.000 | rest 62,62,$10.000
370,$15.000 | rest 62,62,$15.000
371,$20.000 | rest 62,62,$20.000
372,$30.000 | rest 62,62,$30.000
373,EJECUTIVO | rest 63,63,EJECUTIVO
374,ESPECIAL | rest 63,63,ESPECIAL
375,$10.000 | rest 63,63,$10.000
376,$15.000 | rest 63,63,$15.000
377,$20.000 | rest 63,63,$20.000
378,$30.000 | rest 63,63,$30.000
379,EJECUTIVO | rest 64,64,EJECUTIVO
380,ESPECIAL | rest 64,64,ESPECIAL
381,$10.000 | rest 64,64,$10.000
382,$15.000 | rest 64,64,$15.000
383,$20.000 | rest 64,64,$20.000
384,$30.000 | rest 64,64,$30.000
385,EJECUTIVO | rest 65,65,EJECUTIVO
386,ESPECIAL | rest 65,65,ESPECIAL
387,$10.000 | rest 65,65,$10.000
388,$15.000 | rest 65,65,$15.000
389,$20.000 | rest 65,65,$20.000
390,$30.000 | rest 65,65,$30.000
391,EJECUTIVO | rest 66,66,EJECUTIVO
392,ESPECIAL | rest 66,66,ESPECIAL
393,$10.000 | rest 66,66,$10.000
394,$15.000 | rest 66,66,$15.000
395,$20.000 | rest 66,66,$20.000
396,$30.000 | rest 66,66,$30.000
397,EJECUTIVO | rest 67,67,EJECUTIVO
398,ESPECIAL | rest 67,67,ESPECIAL
399,$10.000 | rest 67,67,$10.000
400,$15.000 | rest 67,67,$15.000
401,$20.000 | rest 67,67,$20.000
402,$30.000 | rest 67,67,$30.000
403,EJECUTIVO | rest 68,68,EJECUTIVO
404,ESPECIAL | rest 68,68,ESPECIAL
405,$10.000 | rest 68,68,$10.000
406,$15.000 | rest 68,68,$15.000
407,$20.000 | rest 68,68,$20.000
408,$30.000 | rest 68,68,$30.000
409,EJECUTIVO | rest 69,69,EJECUTIVO
410,ESPECIAL | rest 69,69,ESPECIAL
411,$10.000 | rest 69,69,$10.000
412,$15.000 | rest 69,69,$15.000
413,$20.000 | rest 69,69,$20.000
414,$30.000 | rest 69,69,$30.000
415,EJECUTIVO | rest 70,70,EJECUTIVO
416,ESPECIAL | rest 70,70,ESPECIAL
417,$10.000 | rest 70,70,$10.000
418,$15.000 | rest 70,70,$15.000
419,$20.000 | rest 70,70,$20.000
420,$30.000 | rest 70,70,$30.000
421,EJECUTIVO | rest 71,71,EJECUTIVO
422,ESPECIAL | rest 71,71,ESPECIAL
423,$10.000 | rest 71,71,$10.000
424,$15.000 | rest 71,71,$15.000
425,$20.000 | rest 71,71,$20.000
426,$30.000 | rest 71,71,$30.000
427,EJECUTIVO | rest 72,72,EJECUTIVO
428,ESPECIAL | rest 72,72,ESPECIAL
429,$10.000 | rest 72,72,$10.000
430,$15.000 | rest 72,72,$15.000
431,$20.000 | rest 72,72,$20.000
432,$30.000 | rest 72,72,$30.000
433,EJECUTIVO | rest 73,73,EJECUTIVO
434,ESPECIAL | rest 73,73,ESPECIAL
435,$10.000 | rest 73,73,$10.000
436,$15.000 | rest 73,73,$15.000
437,$20.000 | rest 73,73,$20.000
438,$30.000 | rest 73,73,$30.000
439,EJECUTIVO | rest 74,74,EJECUTIVO
440,ESPECIAL | rest 74,74,ESPECIAL
441,$10.000 | rest 74,74,$10.000
442,$15.000 | rest 74,74,$15.000
443,$20.000 | rest 74,74,$20.000
444,$30.000 | rest 74,74,$30.000
445,EJECUTIVO | rest 75,75,EJECUTIVO
446,ESPECIAL | rest 75,75,ESPECIAL
447,$10.000 | rest 75,75,$10.000
448,$15.000 | rest 75,75,$15.000
449,$20.000 | rest 75,75,$20.000
450,$30.000 | rest 75,75,$30.000
451,EJECUTIVO | rest 76,76,EJECUTIVO
452,ESPECIAL | rest 76,76,ESPECIAL
453,$10.000 | rest 76,76,$10.000
454,$15.000 | rest 76,76,$15.000
455,$20.000 | rest 76,76,$20.000
456,$30.000 | rest 76,76,$30.000
457,EJECUTIVO | rest 77,77,EJECUTIVO
458,ESPECIAL | rest 77,77,ESPECIAL
459,$10.000 | rest 77,77,$10.000
460,$15.000 | rest 77,77,$15.000
461,$20.000 | rest 77,77,$20.000
462,$30.000 | rest 77,77,$30.000
463,EJECUTIVO | rest 78,78,EJECUTIVO
464,ESPECIAL | rest 78,78,ESPECIAL
465,$10.000 | rest 78,78,$10.000
466,$15.000 | rest 78,78,$15.000
467,$20.000 | rest 78,78,$20.000
468,$30.000 | rest 78,78,$30.000
469,EJECUTIVO | rest 79,79,EJECUTIVO
470,ESPECIAL | rest 79,79,ESPECIAL
471,$10.000 | rest 79,79,$10.000
472,$15.000 | rest 79,79,$15.000
473,$20.000 | rest 79,79,$20.000
474,$30.000 | rest 79,79,$30.000
475,EJECUTIVO | rest 80,80,EJECUTIVO
476,ESPECIAL | rest 80,80,ESPECIAL
477,$10.000 | rest 80,80,$10.000
478,$15.000 | rest 80,80,$15.000
479,$20.000 | rest 80,80,$20.000
480,$30.000 | rest 80,80,$30.000
481,EJECUTIVO | rest 81,81,EJECUTIVO
482,ESPECIAL | rest 81,81,ESPECIAL
483,$10.000 | rest 81,81,$10.000
484,$15.000 | rest 81,81,$15.000
485,$20.000 | rest 81,81,$20.000
486,$30.000 | rest 81,81,$30.000
487,EJECUTIVO | rest 82,82,EJECUTIVO
488,ESPECIAL | rest 82,82,ESPECIAL
489,$10.000 | rest 82,82,$10.000
490,$15.000 | rest 82,82,$15.000
491,$20.000 | rest 82,82,$20.000
492,$30.000 | rest 82,82,$30.000
493,EJECUTIVO | rest 83,83,EJECUTIVO
494,ESPECIAL | rest 83,83,ESPECIAL
495,$10.000 | rest 83,83,$10.000
496,$15.000 | rest 83,83,$15.000
497,$20.000 | rest 83,83,$20.000
498,$30.000 | rest 83,83,$30.000
499,EJECUTIVO | rest 84,84,EJECUTIVO
500,ESPECIAL | rest 84,84,ESPECIAL
501,$10.000 | rest 84,84,$10.000
502,$15.000 | rest 84,84,$15.000
503,$20.000 | rest 84,84,$20.000
504,$30.000 | rest 84,84,$30.000
505,EJECUTIVO | rest 85,85,EJECUTIVO
506,ESPECIAL | rest 85,85,ESPECIAL
507,$10.000 | rest 85,85,$10.000
508,$15.000 | rest 85,85,$15.000
509,$20.000 | rest 85,85,$20.000
510,$30.000 | rest 85,85,$30.000
511,EJECUTIVO | rest 86,86,EJECUTIVO
512,ESPECIAL | rest 86,86,ESPECIAL
513,$10.000 | rest 86,86,$10.000
514,$15.000 | rest 86,86,$15.000
515,$20.000 | rest 86,86,$20.000
516,$30.000 | rest 86,86,$30.000
517,EJECUTIVO | rest 87,87,EJECUTIVO
518,ESPECIAL | rest 87,87,ESPECIAL
519,$10.000 | rest 87,87,$10.000
520,$15.000 | rest 87,87,$15.000
521,$20.000 | rest 87,87,$20.000
522,$30.000 | rest 87,87,$30.000
523,EJECUTIVO | rest 88,88,EJECUTIVO
524,ESPECIAL | rest 88,88,ESPECIAL
525,$10.000 | rest 88,88,$10.000
526,$15.000 | rest 88,88,$15.000
527,$20.000 | rest 88,88,$20.000
528,$30.000 | rest 88,88,$30.000
529,EJECUTIVO | rest 89,89,EJECUTIVO
530,ESPECIAL | rest 89,89,ESPECIAL
531,$10.000 | rest 89,89,$10.000
532,$15.000 | rest 89,89,$15.000
533,$20.000 | rest 89,89,$20.000
534,$30.000 | rest 89,89,$30.000
535,EJECUTIVO | rest 90,90,EJECUTIVO
536,ESPECIAL | rest 90,90,ESPECIAL
537,$10.000 | rest 90,90,$10.000
538,$15.000 | rest 90,90,$15.000
539,$20.000 | rest 90,90,$20.000
540,$30.000 | rest 90,90,$30.000
541,EJECUTIVO | rest 91,91,EJECUTIVO
542,ESPECIAL | rest 91,91,ESPECIAL
543,$10.000 | rest 91,91,$10.000
544,$15.000 | rest 91,91,$15.000
545,$20.000 | rest 91,91,$20.000
546,$30.000 | rest 91,91,$30.000
547,EJECUTIVO | rest 92,92,EJECUTIVO
548,ESPECIAL | rest 92,92,ESPECIAL
549,$10.000 | rest 92,92,$10.000
550,$15.000 | rest 92,92,$15.000
551,$20.000 | rest 92,92,$20.000
552,$30.000 | rest 92,92,$30.000
553,EJECUTIVO | rest 93,93,EJECUTIVO
554,ESPECIAL | rest 93,93,ESPECIAL
555,$10.000 | rest 93,93,$10.000
556,$15.000 | rest 93,93,$15.000
557,$20.000 | rest 93,93,$20.000
558,$30.000 | rest 93,93,$30.000
559,EJECUTIVO | rest 94,94,EJECUTIVO
560,ESPECIAL | rest 94,94,ESPECIAL
561,$10.000 | rest 94,94,$10.000
562,$15.000 | rest 94,94,$15.000
563,$20.000 | rest 94,94,$20.000
564,$30.000 | rest 94,94,$30.000
565,EJECUTIVO | rest 95,95,EJECUTIVO
566,ESPECIAL | rest 95,95,ESPECIAL
567,$10.000 | rest 95,95,$10.000
568,$15.000 | rest 95,95,$15.000
569,$20.000 | rest 95,95,$20.000
570,$30.000 | rest 95,95,$30.000
571,EJECUTIVO | rest 96,96,EJECUTIVO
572,ESPECIAL | rest 96,96,ESPECIAL
573,$10.000 | rest 96,96,$10.000
574,$15.000 | rest 96,96,$15.000
575,$20.000 | rest 96,96,$20.000
576,$30.000 | rest 96,96,$30.000
577,EJECUTIVO | rest 97,97,EJECUTIVO
578,ESPECIAL | rest 97,97,ESPECIAL
579,$10.000 | rest 97,97,$10.000
580,$15.000 | rest 97,97,$15.000
581,$20.000 | rest 97,97,$20.000
582,$30.000 | rest 97,97,$30.000
583,EJECUTIVO | rest 98,98,EJECUTIVO
584,ESPECIAL | rest 98,98,ESPECIAL
585,$10.000 | rest 98,98,$10.000
586,$15.000 | rest 98,98,$15.000
587,$20.000 | rest 98,98,$20.000
588,$30.000 | rest 98,98,$30.000
589,EJECUTIVO | rest 99,99,EJECUTIVO
590,ESPECIAL | rest 99,99,ESPECIAL
591,$10.000 | rest 99,99,$10.000
592,$15.000 | rest 99,99,$15.000
593,$20.000 | rest 99,99,$20.000
594,$30.000 | rest 99,99,$30.000
595,EJECUTIVO | rest 100,100,EJECUTIVO
596,ESPECIAL | rest 100,100,ESPECIAL
597,$10.000 | rest 100,100,$10.000
598,$15.000 | rest 100,100,$15.000
599,$20.000 | rest 100,100,$20.000
600,$30.000 | rest 100,100,$30.000
601,EJECUTIVO | rest 101,101,EJECUTIVO
602,ESPECIAL | rest 101,101,ESPECIAL
603,$10.000 | rest 101,101,$10.000
604,$15.000 | rest 101,101,$15.000
605,$20.000 | rest 101,101,$20.000
606,$30.000 | rest 101,101,$30.000
607,EJECUTIVO | rest 102,102,EJECUTIVO
608,ESPECIAL | rest 102,102,ESPECIAL
609,$10.000 | rest 102,102,$10.000
610,$15.000 | rest 102,102,$15.000
611,$20.000 | rest 102,102,$20.000
612,$30.000 | rest 102,102,$30.000
613,EJECUTIVO | rest 103,103,EJECUTIVO
614,ESPECIAL | rest 103,103,ESPECIAL
615,$10.000 | rest 103,103,$10.000
616,$15.000 | rest 103,103,$15.000
617,$20.000 | rest 103,103,$20.000
618,$30.000 | rest 103,103,$30.000
619,EJECUTIVO | rest 104,104,EJECUTIVO
620,ESPECIAL | rest 104,104,ESPECIAL
621,$10.000 | rest 104,104,$10.000
622,$15.000 | rest 104,104,$15.000
623,$20.000 | rest 104,104,$20.000
624,$30.000 | rest 104,104,$30.000
625,EJECUTIVO | rest 105,105,EJECUTIVO
626,ESPECIAL | rest 105,105,ESPECIAL
627,$10.000 | rest 105,105,$10.000
628,$15.000 | rest 105,105,$15.000
629,$20.000 | rest 105,105,$20.000
630,$30.000 | rest 105,105,$30.000
631,EJECUTIVO | rest 106,106,EJECUTIVO
632,ESPECIAL | rest 106,106,ESPECIAL
633,$10.000 | rest 106,106,$10.000
